Order_ID,Order_Date,Customer_ID,Product_Name,Category,Quantity,Unit_Price,Total_Sales,Region,Order_Status,Sales_Channel,Order_Month,Order_Year,Order_Quarter
ORD-1050,2025-07-28,CUST-283,Leader Pro,Furniture,20,1037.7849999999999,20755.7,Central,Shipped,In-Store,7,2025,2025Q3
ORD-1051,2025-12-23,CUST-276,Speak Max,Furniture,28,1037.7849999999999,29057.98,East,Delivered,In-Store,12,2025,2025Q4
ORD-1052,2025-08-16,CUST-409,Note Max,Furniture,47,1502.42,70613.74,East,Pending,Phone,8,2025,2025Q3
ORD-1053,2025-03-13,CUST-235,Different Basic,Electronics,7,427.71,2993.97,Central,Cancelled,In-Store,3,2025,2025Q1
ORD-1055,2025-07-25,CUST-473,Learn Plus,Food & Beverage,8,418.23,3345.84,South,Cancelled,Phone,7,2025,2025Q3
ORD-1056,2026-06-02,CUST-335,Help Lite,Electronics,47,389.47,18305.09,South,Pending,In-Store,6,2026,2026Q2
ORD-1057,2025-06-02,CUST-374,Watch Plus,Furniture,35,82.73,2895.55,East,Returned,In-Store,6,2025,2025Q2
ORD-1059,2025-02-26,CUST-293,Day Plus,Furniture,17,1134.03,19278.51,East,Delivered,Online,2,2025,2025Q1
ORD-1060,2026-03-20,CUST-140,Why Max,Sports,36,140.76,5067.36,South,Returned,Mobile App,3,2026,2026Q1
ORD-1061,2024-08-12,CUST-382,Fire Max,Furniture,40,1553.3,62132.0,East,Pending,Phone,8,2024,2024Q3
ORD-1062,2025-12-14,CUST-250,Democratic Basic,Sports,4,912.04,3648.16,East,Returned,Mobile App,12,2025,2025Q4
ORD-1063,2024-12-20,CUST-421,Detail Basic,Clothing,2,1053.54,2107.08,South,Returned,Online,12,2024,2024Q4
ORD-1064,2025-02-02,CUST-416,Range Plus,Food & Beverage,6,887.12,5322.72,West,Cancelled,Online,2,2025,2025Q1
ORD-1065,2024-12-07,CUST-285,Same Plus,Furniture,42,807.52,33915.84,East,Cancelled,Phone,12,2024,2024Q4
ORD-1066,2026-01-13,CUST-395,Assume Max,Sports,4,1123.68,4494.72,West,Delivered,Phone,1,2026,2026Q1
ORD-1067,2025-06-29,CUST-198,Compare Lite,Food & Beverage,29,318.93,9248.97,East,Pending,Mobile App,6,2025,2025Q2
ORD-1068,2025-01-22,CUST-460,Century Lite,Clothing,18,372.04,6696.72,Central,Shipped,Mobile App,1,2025,2025Q1
ORD-1069,2025-04-22,CUST-135,Agency Basic,Sports,26,1724.95,44848.7,East,Pending,In-Store,4,2025,2025Q2
ORD-1070,2025-06-10,CUST-123,Beyond Plus,Clothing,44,1892.77,83281.88,East,Returned,Mobile App,6,2025,2025Q2
ORD-1072,2026-05-02,CUST-216,Order Plus,Electronics,10,548.78,5487.8,Central,Delivered,Online,5,2026,2026Q2
ORD-1073,2024-09-22,CUST-495,Indeed Pro,Food & Beverage,36,1291.56,46496.16,Central,Shipped,Mobile App,9,2024,2024Q3
ORD-1074,2025-12-11,CUST-248,Ball Max,Electronics,14,823.38,11527.32,West,Returned,In-Store,12,2025,2025Q4
ORD-1075,2026-05-22,CUST-140,Color Plus,Clothing,31,60.52,1876.12,West,Returned,Mobile App,5,2026,2026Q2
ORD-1076,2024-11-16,CUST-219,Play Plus,Sports,48,320.74,15395.52,East,Delivered,Phone,11,2024,2024Q4
ORD-1077,2025-05-21,CUST-151,Sense Plus,Furniture,15,1434.78,21521.7,South,Delivered,In-Store,5,2025,2025Q2
ORD-1078,2025-11-26,CUST-294,Both Lite,Electronics,8,1321.26,10570.08,East,Shipped,Phone,11,2025,2025Q4
ORD-1079,2024-07-11,CUST-242,Factor Plus,Furniture,14,63.92,894.88,North,Shipped,Online,7,2024,2024Q3
ORD-1080,2024-09-28,CUST-332,Provide Pro,Electronics,23,451.72,10389.56,East,Cancelled,In-Store,9,2024,2024Q3
ORD-1081,2025-05-16,CUST-425,Here Lite,Food & Beverage,40,469.84,18793.6,North,Delivered,In-Store,5,2025,2025Q2
ORD-1082,2025-01-07,CUST-286,Woman Basic,Furniture,21,1037.7849999999999,21793.48,East,Shipped,Mobile App,1,2025,2025Q1
ORD-1083,2025-01-21,CUST-183,Move Basic,Electronics,16,49.22,787.52,West,Returned,In-Store,1,2025,2025Q1
ORD-1085,2025-02-12,CUST-281,Rate Pro,Sports,18,1601.83,28832.94,West,Delivered,Online,2,2025,2025Q1
ORD-1086,2025-05-10,CUST-207,Company Plus,Clothing,47,365.3,17169.1,Unknown,Shipped,Online,5,2025,2025Q2
ORD-1087,2026-02-03,CUST-443,Democrat Pro,Food & Beverage,24,1308.96,31415.04,South,Delivered,In-Store,2,2026,2026Q1
ORD-1088,2025-11-11,CUST-236,Professional Basic,Food & Beverage,26,483.98,12583.48,Central,Cancelled,In-Store,11,2025,2025Q4
ORD-1089,2024-11-27,CUST-459,Pull Plus,Electronics,25,207.89,5197.25,East,Pending,Mobile App,11,2024,2024Q4
ORD-1090,2024-10-14,CUST-449,Town Pro,Clothing,45,493.91,22225.95,Central,Delivered,Online,10,2024,2024Q4
ORD-1091,2026-01-25,CUST-431,Care Lite,Furniture,41,1447.31,59339.71,East,Delivered,Mobile App,1,2026,2026Q1
ORD-1092,2026-01-07,CUST-136,Together Plus,Electronics,29,1712.84,49672.36,South,Delivered,Online,1,2026,2026Q1
ORD-1093,2024-06-04,CUST-411,Along Lite,Electronics,15,1662.14,24932.1,North,Delivered,Mobile App,6,2024,2024Q2
ORD-1094,2026-02-16,CUST-425,Offer Pro,Clothing,45,800.4,36018.0,Central,Shipped,Phone,2,2026,2026Q1
ORD-1095,2025-09-29,CUST-187,Cold Plus,Sports,1,1339.49,1339.49,Central,Pending,Phone,9,2025,2025Q3
ORD-1097,2025-04-16,CUST-473,Hear Max,Furniture,7,593.36,4153.52,South,Delivered,Mobile App,4,2025,2025Q2
ORD-1098,2024-08-03,CUST-225,Fish Basic,Food & Beverage,9,1793.71,16143.39,North,Returned,In-Store,8,2024,2024Q3
ORD-1099,2025-05-15,CUST-183,Idea Plus,Electronics,24,35.87,860.88,Central,Shipped,In-Store,5,2025,2025Q2
ORD-1100,2026-04-17,CUST-336,Late Pro,Sports,1,180.16,180.16,South,Pending,In-Store,4,2026,2026Q2
ORD-1101,2025-09-20,CUST-294,Degree Max,Electronics,44,423.69,18642.36,South,Cancelled,Mobile App,9,2025,2025Q3
ORD-1102,2024-12-29,CUST-238,Ability Basic,Sports,8,62.8,502.4,North,Cancelled,Phone,12,2024,2024Q4
ORD-1103,2026-05-10,CUST-427,Serve Plus,Clothing,24,371.06,8905.44,North,Cancelled,In-Store,5,2026,2026Q2
ORD-1104,2025-04-11,CUST-452,From Max,Food & Beverage,11,1170.25,12872.75,West,Cancelled,Online,4,2025,2025Q2
ORD-1105,2025-03-03,CUST-385,Party Plus,Electronics,17,848.63,14426.71,East,Cancelled,Phone,3,2025,2025Q1
ORD-1106,2024-09-27,CUST-212,Pretty Basic,Sports,8,1786.42,14291.36,West,Pending,Online,9,2024,2024Q3
ORD-1107,2025-09-15,CUST-450,Among Pro,Sports,35,1636.71,57284.85,North,Delivered,Mobile App,9,2025,2025Q3
ORD-1108,2025-04-12,CUST-266,Serious Basic,Electronics,35,690.22,24157.7,South,Cancelled,In-Store,4,2025,2025Q2
ORD-1109,2025-01-29,CUST-493,True Pro,Food & Beverage,33,526.25,17366.25,North,Delivered,Online,1,2025,2025Q1
ORD-1110,2026-02-04,CUST-497,Clearly Lite,Clothing,5,765.59,3827.95,Central,Returned,Mobile App,2,2026,2026Q1
ORD-1111,2024-10-09,CUST-128,Affect Max,Clothing,42,1184.69,49756.98,South,Delivered,In-Store,10,2024,2024Q4
ORD-1112,2025-04-23,CUST-217,Stop Lite,Furniture,39,1037.7849999999999,40473.61,West,Returned,Mobile App,4,2025,2025Q2
ORD-1113,2025-11-26,CUST-116,During Pro,Furniture,41,1252.06,51334.46,West,Delivered,Online,11,2025,2025Q4
ORD-1114,2025-11-14,CUST-261,Attention Plus,Furniture,28,824.73,23092.44,West,Delivered,Phone,11,2025,2025Q4
ORD-1115,2026-05-24,CUST-305,Alone Pro,Food & Beverage,7,1108.57,7759.99,South,Delivered,Online,5,2026,2026Q2
ORD-1116,2026-02-06,CUST-237,Common Pro,Furniture,9,877.89,7901.01,East,Delivered,Online,2,2026,2026Q1
ORD-1117,2025-07-02,CUST-133,Agree Plus,Furniture,8,595.99,4767.92,East,Pending,Phone,7,2025,2025Q3
ORD-1118,2026-02-02,CUST-208,Seat Lite,Food & Beverage,12,1897.42,22769.04,East,Returned,Mobile App,2,2026,2026Q1
ORD-1119,2025-05-02,CUST-390,Part Max,Furniture,34,1529.58,52005.72,North,Delivered,Mobile App,5,2025,2025Q2
ORD-1120,2025-07-17,CUST-467,Official Pro,Clothing,33,288.83,9531.39,North,Pending,Online,7,2025,2025Q3
ORD-1121,2024-11-19,CUST-261,Think Pro,Electronics,48,1738.25,83436.0,Central,Pending,Online,11,2024,2024Q4
ORD-1122,2024-11-11,CUST-208,Air Max,Clothing,23,979.99,22539.77,South,Returned,Mobile App,11,2024,2024Q4
ORD-1123,2025-03-31,CUST-435,Join Pro,Clothing,24,1790.16,42963.84,Central,Delivered,Phone,3,2025,2025Q1
ORD-1124,2026-02-03,CUST-355,Spend Max,Sports,37,1601.71,59263.27,North,Pending,In-Store,2,2026,2026Q1
ORD-1125,2025-03-05,CUST-302,Require Max,Electronics,35,856.17,29965.95,South,Cancelled,Phone,3,2025,2025Q1
ORD-1126,2025-01-30,CUST-429,Knowledge Max,Clothing,44,54.71,2407.24,West,Cancelled,Online,1,2025,2025Q1
ORD-1127,2025-12-29,CUST-334,Build Plus,Electronics,40,544.67,21786.8,South,Cancelled,Mobile App,12,2025,2025Q4
ORD-1129,2025-11-22,CUST-235,Its Lite,Food & Beverage,27,1270.62,34306.74,West,Cancelled,Online,11,2025,2025Q4
ORD-1130,2026-05-16,CUST-171,Add Basic,Food & Beverage,35,523.2,18312.0,West,Shipped,In-Store,5,2026,2026Q2
ORD-1131,2024-06-24,CUST-226,See Plus,Furniture,1,287.32,287.32,South,Returned,In-Store,6,2024,2024Q2
ORD-1132,2025-11-05,CUST-481,Only Basic,Food & Beverage,35,1671.51,58502.85,East,Shipped,Phone,11,2025,2025Q4
ORD-1133,2025-01-28,CUST-387,Society Lite,Electronics,37,1968.96,72851.52,North,Shipped,Online,1,2025,2025Q1
ORD-1134,2025-03-25,CUST-375,Question Lite,Sports,47,1056.12,49637.64,North,Cancelled,Online,3,2025,2025Q1
ORD-1135,2024-07-31,CUST-234,Expect Lite,Furniture,14,351.64,4922.96,East,Returned,In-Store,7,2024,2024Q3
ORD-1137,2025-09-29,CUST-399,Place Basic,Food & Beverage,1,46.6,46.6,Central,Shipped,Mobile App,9,2025,2025Q3
ORD-1138,2024-12-07,CUST-319,Sometimes Plus,Furniture,5,1829.45,9147.25,North,Pending,Phone,12,2024,2024Q4
ORD-1139,2026-05-04,CUST-398,Card Basic,Food & Beverage,26,244.32,6352.32,East,Pending,Phone,5,2026,2026Q2
ORD-1140,2025-08-29,CUST-304,Professor Lite,Furniture,14,1157.27,16201.78,East,Delivered,In-Store,8,2025,2025Q3
ORD-1141,2025-08-09,CUST-285,Become Plus,Electronics,39,555.37,21659.43,West,Returned,Online,8,2025,2025Q3
ORD-1142,2026-02-23,CUST-212,Movie Basic,Electronics,27,1112.81,30045.87,Central,Returned,Mobile App,2,2026,2026Q1
ORD-1143,2026-02-09,CUST-170,Artist Lite,Clothing,9,1306.33,11756.97,Central,Shipped,Mobile App,2,2026,2026Q1
ORD-1144,2026-04-13,CUST-360,Lead Lite,Furniture,15,1661.19,24917.85,West,Delivered,Mobile App,4,2026,2026Q2
ORD-1145,2025-10-28,CUST-352,Large Plus,Sports,15,420.78,6311.7,South,Delivered,Mobile App,10,2025,2025Q4
ORD-1146,2025-11-17,CUST-146,Region Max,Electronics,26,31.88,828.88,Central,Delivered,In-Store,11,2025,2025Q4
ORD-1147,2024-09-11,CUST-486,Experience Plus,Clothing,42,282.4,11860.8,West,Returned,Mobile App,9,2024,2024Q3
ORD-1148,2025-07-16,CUST-124,Physical Max,Furniture,13,1801.04,23413.52,East,Returned,Online,7,2025,2025Q3
ORD-1149,2025-12-25,CUST-156,Head Pro,Clothing,32,1749.04,55969.28,South,Cancelled,Mobile App,12,2025,2025Q4
ORD-1150,2025-12-16,CUST-178,Front Plus,Electronics,39,1198.85,46755.15,North,Returned,Phone,12,2025,2025Q4
ORD-1151,2025-05-13,CUST-421,Anyone Max,Clothing,49,1205.03,59046.47,East,Returned,Online,5,2025,2025Q2
ORD-1152,2025-08-22,CUST-181,Her Basic,Furniture,32,1333.42,42669.44,South,Delivered,Mobile App,8,2025,2025Q3
ORD-1153,2025-03-15,CUST-448,Example Lite,Food & Beverage,4,358.99,1435.96,West,Pending,In-Store,3,2025,2025Q1
ORD-1154,2025-12-02,CUST-316,Child Pro,Sports,30,1829.68,54890.4,East,Shipped,In-Store,12,2025,2025Q4
ORD-1155,2026-04-13,CUST-405,Rise Plus,Electronics,37,843.35,31203.95,South,Pending,Mobile App,4,2026,2026Q2
ORD-1156,2025-07-06,CUST-132,Little Max,Furniture,23,772.45,17766.35,North,Shipped,Phone,7,2025,2025Q3
ORD-1157,2025-12-19,CUST-297,Young Basic,Furniture,39,1042.65,40663.35,East,Cancelled,In-Store,12,2025,2025Q4
ORD-1158,2025-09-30,CUST-295,General Max,Clothing,45,103.46,4655.7,East,Returned,Online,9,2025,2025Q3
ORD-1159,2024-10-03,CUST-405,Case Plus,Electronics,15,340.9,5113.5,Central,Shipped,Phone,10,2024,2024Q4
ORD-1160,2025-07-02,CUST-339,Piece Max,Food & Beverage,43,1478.69,63583.67,South,Shipped,In-Store,7,2025,2025Q3
ORD-1161,2024-11-10,CUST-370,Meet Plus,Food & Beverage,29,174.77,5068.33,South,Shipped,Phone,11,2024,2024Q4
ORD-1162,2025-05-10,CUST-228,Available Max,Sports,36,1210.27,43569.72,Central,Shipped,In-Store,5,2025,2025Q2
ORD-1163,2025-02-24,CUST-383,Sign Lite,Sports,13,498.24,6477.12,West,Returned,In-Store,2,2025,2025Q1
ORD-1164,2024-11-24,CUST-105,None Plus,Clothing,32,784.7,25110.4,West,Pending,Phone,11,2024,2024Q4
ORD-1165,2025-08-05,CUST-448,Impact Plus,Electronics,7,584.5,4091.5,Central,Shipped,Mobile App,8,2025,2025Q3
ORD-1166,2024-10-28,CUST-469,Risk Pro,Food & Beverage,22,717.79,15791.38,East,Delivered,Mobile App,10,2024,2024Q4
ORD-1167,2026-02-14,CUST-158,Free Lite,Electronics,28,1440.9,40345.2,North,Shipped,Phone,2,2026,2026Q1
ORD-1168,2025-10-08,CUST-449,Inside Plus,Clothing,2,601.27,1202.54,West,Returned,In-Store,10,2025,2025Q4
ORD-1169,2024-11-07,CUST-374,Be Basic,Electronics,42,1137.15,47760.3,North,Delivered,In-Store,11,2024,2024Q4
ORD-1170,2024-08-15,CUST-484,Bill Max,Electronics,45,957.34,43080.3,South,Returned,In-Store,8,2024,2024Q3
ORD-1171,2026-05-25,CUST-236,Husband Basic,Electronics,6,1330.71,7984.26,South,Shipped,In-Store,5,2026,2026Q2
ORD-1172,2025-07-28,CUST-493,Sure Max,Clothing,28,1874.29,52480.12,West,Returned,In-Store,7,2025,2025Q3
ORD-1173,2025-01-26,CUST-428,Its Max,Clothing,28,1467.82,41098.96,East,Delivered,Mobile App,1,2025,2025Q1
ORD-1174,2024-08-02,CUST-274,Loss Pro,Clothing,44,437.73,19260.12,South,Pending,In-Store,8,2024,2024Q3
ORD-1175,2025-11-09,CUST-157,Section Plus,Food & Beverage,44,72.05,3170.2,North,Delivered,Phone,11,2025,2025Q4
ORD-1176,2025-12-22,CUST-250,More Max,Furniture,20,531.91,10638.2,East,Pending,In-Store,12,2025,2025Q4
ORD-1177,2025-06-01,CUST-322,Most Pro,Electronics,30,1194.21,35826.3,West,Delivered,In-Store,6,2025,2025Q2
ORD-1178,2026-05-20,CUST-180,Course Basic,Sports,11,112.34,1235.74,South,Pending,Mobile App,5,2026,2026Q2
ORD-1179,2025-12-26,CUST-332,Drug Pro,Sports,28,997.77,27937.56,West,Returned,Online,12,2025,2025Q4
ORD-1180,2026-04-23,CUST-101,Else Basic,Furniture,25,1197.72,29943.0,East,Cancelled,Online,4,2026,2026Q2
ORD-1181,2024-08-21,CUST-469,Carry Plus,Electronics,39,675.15,26330.85,East,Pending,In-Store,8,2024,2024Q3
ORD-1182,2025-07-01,CUST-468,Teacher Max,Electronics,33,1544.12,50955.96,East,Pending,Mobile App,7,2025,2025Q3
ORD-1183,2026-04-26,CUST-234,Wish Lite,Electronics,1,222.13,222.13,Central,Shipped,In-Store,4,2026,2026Q2
ORD-1184,2024-12-02,CUST-356,Live Basic,Clothing,27,159.52,4307.04,Central,Shipped,Online,12,2024,2024Q4
ORD-1185,2024-12-10,CUST-490,Likely Max,Food & Beverage,13,1459.1,18968.3,North,Delivered,Mobile App,12,2024,2024Q4
ORD-1186,2026-05-06,CUST-191,Peace Lite,Clothing,41,996.03,40837.23,East,Pending,Phone,5,2026,2026Q2
ORD-1187,2025-07-25,CUST-359,Speak Lite,Electronics,3,1379.92,4139.76,East,Returned,Phone,7,2025,2025Q3
ORD-1188,2025-11-18,CUST-154,Course Basic,Furniture,39,875.31,34137.09,South,Delivered,Mobile App,11,2025,2025Q4
ORD-1189,2025-07-28,CUST-420,Two Max,Electronics,6,1037.7849999999999,6226.71,North,Shipped,Phone,7,2025,2025Q3
ORD-1190,2025-10-19,CUST-252,Red Lite,Electronics,8,1640.01,13120.08,North,Pending,Mobile App,10,2025,2025Q4
ORD-1191,2025-02-22,CUST-427,With Pro,Food & Beverage,27,1600.84,43222.68,West,Cancelled,In-Store,2,2025,2025Q1
ORD-1192,2025-01-23,CUST-359,Dark Pro,Electronics,9,1392.45,12532.05,East,Cancelled,In-Store,1,2025,2025Q1
ORD-1193,2024-09-16,CUST-411,Rich Max,Clothing,37,551.57,20408.09,South,Pending,Online,9,2024,2024Q3
ORD-1194,2024-10-09,CUST-201,Young Plus,Sports,33,1184.56,39090.48,West,Returned,In-Store,10,2024,2024Q4
ORD-1195,2025-03-26,CUST-178,Force Pro,Food & Beverage,42,728.34,30590.28,Central,Pending,In-Store,3,2025,2025Q1
ORD-1196,2026-02-03,CUST-291,Act Basic,Food & Beverage,44,192.25,8459.0,East,Returned,Online,2,2026,2026Q1
ORD-1197,2024-11-01,CUST-490,Involve Max,Food & Beverage,24,1835.45,44050.8,North,Shipped,Mobile App,11,2024,2024Q4
ORD-1198,2025-01-18,CUST-182,War Lite,Electronics,15,282.27,4234.05,East,Returned,In-Store,1,2025,2025Q1
ORD-1199,2025-02-04,CUST-376,Travel Pro,Food & Beverage,32,1900.97,60831.04,East,Returned,In-Store,2,2025,2025Q1
ORD-1200,2025-06-11,CUST-498,Travel Max,Food & Beverage,32,897.55,28721.6,Central,Pending,In-Store,6,2025,2025Q2
ORD-1201,2025-06-04,CUST-371,Scientist Max,Clothing,24,378.41,9081.84,South,Pending,Online,6,2025,2025Q2
ORD-1202,2026-05-16,CUST-100,Generation Plus,Furniture,41,1088.38,44623.58,South,Cancelled,Mobile App,5,2026,2026Q2
ORD-1203,2025-01-25,CUST-406,Wish Lite,Clothing,49,1747.16,85610.84,South,Shipped,Online,1,2025,2025Q1
ORD-1204,2026-04-14,CUST-265,Pressure Lite,Clothing,49,1467.13,71889.37,West,Delivered,Phone,4,2026,2026Q2
ORD-1205,2024-06-21,CUST-350,Candidate Lite,Furniture,12,1615.06,19380.72,South,Pending,In-Store,6,2024,2024Q2
ORD-1206,2025-02-07,CUST-109,Medical Basic,Furniture,39,1320.98,51518.22,West,Shipped,Phone,2,2025,2025Q1
ORD-1207,2024-07-20,CUST-157,Environmental Max,Food & Beverage,2,1387.63,2775.26,Central,Shipped,Mobile App,7,2024,2024Q3
ORD-1208,2024-09-30,CUST-285,Pass Basic,Clothing,3,1699.9,5099.7,East,Cancelled,In-Store,9,2024,2024Q3
ORD-1209,2026-04-18,CUST-257,Yet Basic,Electronics,49,506.84,24835.16,West,Pending,Phone,4,2026,2026Q2
ORD-1210,2025-12-03,CUST-222,Decision Max,Sports,37,983.96,36406.52,Central,Pending,Phone,12,2025,2025Q4
ORD-1211,2025-09-02,CUST-129,Allow Lite,Sports,49,450.21,22060.29,West,Shipped,Phone,9,2025,2025Q3
ORD-1212,2025-07-23,CUST-223,Staff Max,Sports,17,1975.46,33582.82,Central,Pending,In-Store,7,2025,2025Q3
ORD-1213,2025-01-15,CUST-390,Seem Plus,Clothing,49,1888.68,92545.32,South,Cancelled,In-Store,1,2025,2025Q1
ORD-1214,2025-10-14,CUST-140,Area Max,Furniture,2,88.46,176.92,South,Cancelled,In-Store,10,2025,2025Q4
ORD-1215,2024-06-09,CUST-143,Idea Max,Food & Beverage,2,1414.09,2828.18,Central,Cancelled,In-Store,6,2024,2024Q2
ORD-1216,2024-11-29,CUST-474,Wrong Pro,Food & Beverage,28,1851.24,51834.72,North,Pending,Online,11,2024,2024Q4
ORD-1217,2025-02-19,CUST-348,Special Plus,Sports,23,369.34,8494.82,Central,Pending,Phone,2,2025,2025Q1
ORD-1218,2026-02-20,CUST-135,Middle Pro,Food & Beverage,37,1140.21,42187.77,West,Cancelled,Online,2,2026,2026Q1
