Product_ID,Product_Name,Brand,Category,Stock_Quantity,Cost_Price,Selling_Price,Rating,Supplier,Last_Restocked,Profit_Margin_Pct,Stock_Status
PROD-2044,Rock Max,"Harrison,",Clothing,180,986.32,2410.33,2.2,Garcia-Newton,2026-05-10,59.08,Medium
PROD-2045,Contain Elite,Mullins-Lewis,Food & Beverage,169,417.66,515.68,4.9,"Richardson, Brewer and Rodriguez",2025-07-12,19.01,Medium
PROD-2046,Social Lite,Cole,Furniture,186,755.1,865.75,3.5,Banks-Chambers,2025-08-09,12.78,Medium
PROD-2047,Seat Basic,Kidd,Sports,174,872.11,1130.94,4.7,Larson and Sons,2025-09-08,22.89,Medium
PROD-2048,Coach Pro,Johnson,Food & Beverage,221,680.58,753.63,3.7,Nguyen and Sons,2025-08-27,9.69,High
PROD-2049,Well Max,"Silva,",Electronics,232,414.81,906.0,2.2,"Thomas, Beck and Lopez",2026-05-17,54.22,High
PROD-2050,Under Max,Martinez,Sports,161,754.83,1430.87,2.5,"Willis, Roberts and Cooper",2025-07-27,47.25,Medium
PROD-2051,Rock Plus,Stevenson,Sports,420,207.65,479.73,3.2,Reynolds-Brandt,2026-01-02,56.72,High
PROD-2052,Section Max,Phelps-Montes,Clothing,133,330.91,521.84,4.2,Schultz-Moreno,2025-07-12,36.59,Medium
PROD-2053,Type Max,"Coleman,",Electronics,390,548.95,1128.26,2.3,"Rhodes, Sawyer and Cox",2025-07-02,51.35,High
PROD-2054,Boy Lite,Hicks-Hendricks,Sports,479,577.53,1409.66,3.3,"Johnson, Norton and Fisher",2026-01-25,59.03,High
PROD-2055,Charge Pro,Unknown,Sports,223,27.03,57.29,2.4,Sanders Group,2025-10-26,52.82,High
PROD-2056,Degree Elite,James,Clothing,152,945.39,1738.97,4.3,Brown-Figueroa,2026-01-12,45.64,Medium
PROD-2057,Full Elite,Morgan,Furniture,32,698.14,953.79,2.9,"Singh, Lewis and Dean",2025-06-23,26.8,Low
PROD-2058,Single Basic,Rogers-Fowler,Furniture,54,498.23,692.77,1.3,"Foster, Maldonado and Holmes",2025-09-21,28.08,Medium
PROD-2059,Movie Plus,Elliott,Electronics,441,933.46,2108.32,1.7,"Waters, Reed and Barnett",2026-05-04,55.72,High
PROD-2060,Fast Lite,"Cooke,",Clothing,6,441.9,795.95,1.2,"Boyer, Schneider and Morgan",2025-07-05,44.48,Low
PROD-2061,Attention Max,"Rogers,",Food & Beverage,243,980.53,1567.95,3.0,"Cherry, May and Edwards",2025-11-22,37.46,High
PROD-2062,Believe Elite,Lutz-Allen,Clothing,312,514.72,1214.56,1.4,Montgomery Ltd,2025-08-13,57.62,High
PROD-2063,Wrong Basic,Owens,Food & Beverage,125,118.71,272.41,1.5,Nguyen and Sons,2025-09-11,56.42,Medium
PROD-2064,Painting Pro,Reese,Furniture,11,765.98,1702.19,4.8,Harris PLC,2026-02-06,55.0,Low
PROD-2065,Ago Plus,"Payne,",Electronics,15,680.5,1166.67,4.5,Waters-Foster,2026-05-09,41.67,Low
PROD-2066,Society Basic,Mccoy-Marshall,Food & Beverage,207,774.12,1529.4,2.8,"Jackson, Cruz and Lee",2026-04-01,49.38,High
PROD-2067,Begin Plus,"Lewis,",Furniture,42,951.68,2211.29,4.9,Tapia Ltd,2025-10-29,56.96,Low
PROD-2068,Knowledge Pro,"Ware,",Sports,372,777.61,1474.98,1.0,Decker Group,2025-06-05,47.28,High
PROD-2069,Learn Max,Carter,Electronics,483,613.28,783.81,3.5,Turner-Soto,2026-01-14,21.76,High
PROD-2070,Race Pro,Williams,Food & Beverage,460,858.02,1565.15,3.5,Martinez and Sons,2026-03-17,45.18,High
PROD-2071,Effect Basic,Russell-Jones,Clothing,134,674.88,837.71,2.8,"Johnson, Eaton and Alvarez",2026-02-22,19.44,Medium
PROD-2072,Culture Plus,Jefferson,Food & Beverage,227,411.08,739.2,2.6,Harris-Stevens,2025-09-18,44.39,High
PROD-2073,Wait Max,"Aguilar,",Sports,110,886.19,1038.68,2.8,"Walker, Wilson and Oneal",2026-04-24,14.68,Medium
PROD-2074,Plant Max,Valdez,Electronics,306,225.79,419.24,2.7,Pena-Lang,2025-11-09,46.14,High
PROD-2075,Whatever Max,"King,",Electronics,456,716.07,810.28,3.9,"Gross, Wheeler and Washington",2025-09-22,11.63,High
PROD-2076,See Pro,"Richardson,",Clothing,159,882.16,1984.74,1.5,"Everett, Gibson and Walters",2025-11-04,55.55,Medium
PROD-2077,Medical Pro,"Goodman,",Clothing,330,732.66,1103.28,1.8,Graham-Smith,2026-05-30,33.59,High
PROD-2078,Treatment Max,Ruiz,Food & Beverage,263,698.79,1578.85,1.7,Owens-Chapman,2026-04-06,55.74,High
PROD-2079,Despite Elite,"Jacobs,",Sports,224,753.88,1241.34,2.0,Anderson-Wheeler,2026-02-12,39.27,High
PROD-2080,Minute Lite,Nguyen,Clothing,470,467.73,748.87,3.1,Hammond-Bowers,2025-07-19,37.54,High
PROD-2081,Five Plus,Stewart-Gross,Sports,216,874.8,2030.78,1.4,"Perry, Hogan and Jarvis",2025-06-15,56.92,High
PROD-2082,Three Max,Davis,Food & Beverage,455,207.42,274.0,4.5,Summers-Owens,1900-01-01,24.3,High
PROD-2083,Itself Pro,Williams,Clothing,44,131.75,198.06,2.2,"Manning, Smith and Rhodes",2026-04-13,33.48,Low
PROD-2084,Picture Pro,"Williams,",Furniture,213,289.08,534.28,1.7,Davis-Cooper,2025-11-23,45.89,High
PROD-2085,Lawyer Plus,Wright,Clothing,58,533.92,767.75,3.7,Schultz Inc,2026-01-22,30.46,Medium
PROD-2086,Factor Plus,Miller-Wilson,Clothing,131,513.01,936.17,1.2,Anderson Ltd,2026-04-10,45.2,Medium
PROD-2087,Similar Lite,"Pacheco,",Sports,103,821.5,1606.65,3.5,"Crawford, Johnson and Hansen",2025-10-11,48.87,Medium
PROD-2088,Water Pro,Carlson,Electronics,194,407.55,626.46,3.8,Preston LLC,2026-02-02,34.94,Medium
PROD-2089,Bar Basic,Bauer,Furniture,412,486.92,957.33,1.9,"Ward, West and Evans",2025-10-20,49.14,High
PROD-2090,Some Basic,Brown-Floyd,Furniture,488,18.3,34.12,1.2,"Morgan, Jordan and Johns",2026-02-17,46.37,High
PROD-2091,Seat Lite,Davis-Boyer,Electronics,156,412.69,969.22,2.5,"Mcgee, Rodriguez and Gould",2026-03-21,57.42,Medium
PROD-2092,Rather Plus,Unknown,Furniture,0,649.54,1244.44,1.4,"James, Terry and Mann",2025-10-24,47.8,Out of Stock
PROD-2093,Shoulder Pro,Newton,Furniture,225,20.43,49.27,1.5,"Whitehead, Nguyen and Haynes",2026-03-27,58.53,High
PROD-2094,Response Plus,Miller-Butler,Sports,411,284.48,705.2,2.0,Moore-Walker,2025-06-05,59.66,High
PROD-2095,Group Pro,"Jackson,",Electronics,204,211.92,426.92,2.2,Cantu and Sons,2026-03-18,50.36,High
PROD-2096,Change Lite,"Johnson,",Food & Beverage,78,46.78,53.57,3.1,Shepherd-Lamb,2025-07-11,12.68,Medium
PROD-2097,Your Elite,"Valencia,",Food & Beverage,123,481.86,814.33,3.7,Reeves-English,2026-03-13,40.83,Medium
PROD-2098,Activity Max,"Brown,",Food & Beverage,470,185.81,256.55,3.4,Freeman-Ortiz,2026-01-10,27.57,High
PROD-2099,Law Lite,"Proctor,",Food & Beverage,427,744.37,1744.24,1.6,Myers PLC,2025-09-28,57.32,High
PROD-2100,Book Plus,Brown,Furniture,217,848.69,1004.13,1.7,"Morgan, Conway and Thomas",2025-08-31,15.48,High
PROD-2101,Purpose Plus,"Clayton,",Furniture,3,547.86,759.29,4.5,Pace and Sons,2026-02-10,27.85,Low
PROD-2102,Arm Max,Stevens,Sports,89,981.8,1774.15,3.2,"Hensley, Nunez and Lopez",2025-06-15,44.66,Medium
PROD-2103,Phone Max,"Hunt,",Food & Beverage,103,453.23,707.7,4.5,Higgins-Trujillo,2025-12-03,35.96,Medium
PROD-2104,Yeah Max,Wu-Gutierrez,Sports,392,515.8,1114.27,2.5,"Lane, Kim and Williams",2026-02-03,53.71,High
PROD-2105,Accept Plus,Fritz-Henry,Furniture,118,989.27,2351.74,3.5,Romero and Sons,2025-06-13,57.93,Medium
PROD-2106,Hotel Lite,"Reed,",Electronics,132,235.39,279.47,3.1,Nguyen PLC,2026-02-20,15.77,Medium
PROD-2107,Speak Basic,Young-Johnson,Clothing,0,942.83,1688.59,2.3,Perry Group,2026-03-28,44.16,Out of Stock
PROD-2108,Yard Max,Marshall-James,Food & Beverage,95,47.62,106.09,2.9,"Rodriguez, White and Morton",2025-12-26,55.11,Medium
PROD-2109,Particularly Pro,Moore-Williams,Food & Beverage,467,449.15,848.62,3.0,"Valenzuela, Snyder and Ward",2026-01-19,47.07,High
PROD-2110,According Plus,Hunter,Furniture,433,74.65,145.87,3.0,Moore Ltd,2025-10-10,48.82,High
PROD-2111,Owner Elite,Decker-Jenkins,Clothing,330,730.59,1657.71,2.3,"Swanson, Marsh and Le",2026-04-07,55.93,High
PROD-2112,Nation Plus,Wilson,Sports,142,610.37,1361.42,4.2,"Reyes, Burke and Torres",2026-02-03,55.17,Medium
PROD-2113,Born Lite,Michael-Green,Sports,287,708.1,1121.76,4.7,Ross PLC,2026-03-22,36.88,High
PROD-2114,At Lite,Collins,Clothing,27,377.61,452.78,2.4,"Reed, Howard and Thomas",2025-08-23,16.6,Low
PROD-2115,Born Max,Wilson-Hill,Sports,277,372.63,627.04,2.2,Chen Inc,2025-11-30,40.57,High
PROD-2116,Development Elite,Williams,Food & Beverage,232,50.09,106.94,1.8,Robles-Coleman,2025-07-20,53.16,High
PROD-2117,Physical Plus,"Ramos,",Food & Beverage,16,353.2,848.07,3.7,Pearson Group,2026-02-25,58.35,Low
PROD-2118,Chance Pro,"Bullock,",Furniture,0,929.64,2177.71,2.3,Adams and Sons,2025-11-27,57.31,Out of Stock
PROD-2119,Baby Max,"Reed,",Food & Beverage,89,382.33,676.83,5.0,Jacobs Inc,2025-09-21,43.51,Medium
PROD-2120,May Elite,Hayes-Mckinney,Furniture,491,832.21,1066.27,2.3,"Hansen, Torres and Young",2025-12-24,21.95,High
PROD-2121,Red Lite,"Johnson,",Sports,198,843.11,1781.21,2.6,"Davis, Baker and Wilson",2025-12-16,52.67,Medium
PROD-2122,Many Pro,Anthony-Rodriguez,Electronics,361,376.37,468.84,3.4,Gordon-Olson,2026-04-04,19.72,High
PROD-2123,Could Lite,"Willis,",Electronics,440,633.83,1137.87,4.2,Silva Inc,2025-06-02,44.3,High
PROD-2124,Become Max,"Giles,",Electronics,25,99.89,141.38,2.9,Jones Group,2025-10-28,29.35,Low
PROD-2125,Religious Pro,Kim-Love,Electronics,24,108.16,172.01,2.7,"Watson, Diaz and Garcia",2025-12-20,37.12,Low
PROD-2126,Serve Lite,Gray,Electronics,393,53.41,94.46,5.0,Allen Inc,2025-08-11,43.46,High
PROD-2127,Discuss Plus,Clark,Sports,300,583.11,1279.44,1.0,Chambers PLC,2026-05-26,54.42,High
PROD-2128,Later Plus,"Murillo,",Food & Beverage,338,428.94,998.16,4.6,Hopkins LLC,2025-08-08,57.03,High
PROD-2129,Serious Elite,Spencer,Electronics,266,550.29,780.78,1.6,"Miranda, Taylor and White",2025-10-17,29.52,High
PROD-2130,Direction Max,Jones,Food & Beverage,460,523.47,1258.29,4.1,Paul-Castro,2025-06-11,58.4,High
PROD-2131,Remain Pro,Henderson,Sports,180,353.45,401.84,3.5,Massey PLC,2026-02-17,12.04,Medium
PROD-2132,Everyone Lite,Fleming,Sports,455,679.09,1490.3,2.4,"Carpenter, Parsons and Miller",2025-07-13,54.43,High
PROD-2133,Technology Elite,Unknown,Electronics,359,759.71,1044.33,4.5,Morales Group,2026-01-17,27.25,High
PROD-2134,Deal Lite,Walker-Oliver,Food & Beverage,67,19.56,38.17,1.1,Suarez Ltd,2025-10-06,48.76,Medium
PROD-2135,Might Plus,Carter,Sports,494,211.21,344.51,1.9,"Mitchell, White and Jackson",2026-05-22,38.69,High
PROD-2136,Every Elite,"Miller,",Sports,350,714.67,1470.1,3.3,"Vasquez, Garza and Parker",2025-11-23,51.39,High
PROD-2137,Paper Max,Mcdaniel,Electronics,411,389.69,438.53,2.4,"Levy, Thomas and Holmes",2026-04-01,11.14,High
PROD-2138,Fly Pro,Silva-Munoz,Furniture,458,664.17,1178.93,3.4,"Ortiz, Carter and Johnson",2026-02-14,43.66,High
PROD-2139,Source Plus,Wang,Food & Beverage,490,350.23,575.07,1.1,Collins-Cooper,2025-11-21,39.1,High
PROD-2140,Contain Plus,"Young,",Clothing,320,393.8,641.15,1.5,Baker-Smith,2025-06-05,38.58,High
PROD-2141,Who Basic,Mcdonald,Clothing,48,162.89,207.74,1.5,Kennedy-Santana,2025-06-23,21.59,Low
PROD-2142,Much Plus,Unknown,Food & Beverage,174,261.94,545.33,1.8,Wolf-Allen,2025-08-16,51.97,Medium
PROD-2143,Someone Elite,"Long,",Sports,0,607.38,1135.41,2.8,Mata Inc,2026-03-01,46.51,Out of Stock
PROD-2144,Yes Elite,Unknown,Food & Beverage,101,436.0,550.15,4.0,Murray-Brown,2025-08-28,20.75,Medium
PROD-2145,Way Lite,Gray-Higgins,Electronics,215,775.43,981.07,4.6,Williams PLC,2026-05-17,20.96,High
PROD-2146,Region Max,Romero-Williams,Clothing,437,853.32,1674.14,4.3,Cochran Inc,2025-09-11,49.03,High
PROD-2147,Success Plus,"Byrd,",Food & Beverage,187,543.94,1286.4,1.8,"Hartman, Vargas and Bowman",2025-09-09,57.72,Medium
PROD-2148,Door Basic,Randall,Electronics,56,759.48,1209.48,2.8,"Schmidt, Morris and Johnson",2026-03-06,37.21,Medium
PROD-2149,Form Elite,"Nolan,",Furniture,46,310.37,490.5,1.8,"Clark, Alvarado and Palmer",2025-08-11,36.72,Low
PROD-2150,Will Elite,Smith,Food & Beverage,158,417.9,996.82,2.1,Hernandez Group,2025-09-15,58.08,Medium
PROD-2151,Song Plus,Stewart,Food & Beverage,488,714.21,1023.78,3.0,Mills Group,1900-01-01,30.24,High
PROD-2152,Feeling Lite,Smith-Marks,Food & Beverage,173,389.28,478.34,1.3,"Roberts, Lowe and Kelly",2026-05-04,18.62,Medium
PROD-2153,Role Pro,"Shaw,",Electronics,241,590.56,657.92,1.9,Kline-Oconnor,2025-11-11,10.24,High
PROD-2154,Quickly Pro,Hernandez,Furniture,281,189.45,317.95,4.7,Crawford-Guerrero,2025-10-21,40.42,High
PROD-2155,Population Pro,Hernandez-Frey,Clothing,240,601.77,1295.97,2.9,Duncan-Coffey,2025-12-10,53.57,High
PROD-2156,Floor Lite,Zavala,Sports,369,862.21,1923.44,2.8,"Kelly, Richardson and Campbell",2026-02-10,55.17,High
PROD-2157,That Lite,Duran,Furniture,4,869.3,1608.82,1.1,"Reilly, Porter and Jones",2025-12-17,45.97,Low
PROD-2158,From Max,"Gibson,",Furniture,83,725.72,844.8,2.0,Williams Ltd,2025-09-06,14.1,Medium
PROD-2159,Several Basic,"Green,",Furniture,307,747.02,1660.23,4.5,Davis Group,2025-11-23,55.01,High
PROD-2160,Late Pro,Welch,Furniture,360,560.14,1300.96,1.7,Smith-Martinez,2025-10-11,56.94,High
PROD-2161,Lot Elite,"Jacobson,",Food & Beverage,458,586.74,850.71,2.7,"Doyle, Henry and Roberts",2026-01-11,31.03,High
PROD-2162,Important Lite,"Hernandez,",Clothing,0,137.98,162.77,1.1,"Wallace, Williams and Harper",2025-06-13,15.23,Out of Stock
PROD-2163,Little Pro,"Sanders,",Electronics,53,446.64,526.73,2.9,Arias PLC,2025-08-16,15.21,Medium
PROD-2164,Sea Elite,Shaw,Food & Beverage,160,453.52,777.32,1.1,Brown and Sons,2025-06-05,41.66,Medium
PROD-2165,Involve Max,Davis-Reeves,Electronics,433,958.71,1433.88,4.3,Howard PLC,2025-12-20,33.14,High
PROD-2166,Continue Plus,Sanchez-Parsons,Electronics,421,433.93,784.13,4.3,"Savage, Guzman and James",2025-12-03,44.66,High
PROD-2167,Husband Basic,"Garrett,",Electronics,410,551.6,1071.97,3.0,Sanchez LLC,2025-12-29,48.54,High
PROD-2168,Increase Elite,Odonnell,Clothing,225,535.59,1256.81,2.1,Mason and Sons,2026-05-19,57.38,High
PROD-2169,Camera Pro,Christensen,Furniture,14,638.58,1594.74,4.3,"Wright, Pruitt and Herrera",1900-01-01,59.96,Low
PROD-2170,Effect Plus,Camacho-Navarro,Sports,223,749.49,960.55,3.0,"Erickson, Mcgee and Cooper",2025-11-17,21.97,High
PROD-2171,Possible Plus,"Moyer,",Sports,60,228.92,379.31,2.5,Stone-Clark,2025-06-18,39.65,Medium
PROD-2172,Across Max,Cortez,Furniture,121,531.08,1073.11,3.5,"Marshall, Lam and White",2025-07-31,50.51,Medium
PROD-2173,Detail Max,Snyder-Smith,Furniture,276,826.79,1669.48,1.0,"Mitchell, Jackson and Fox",2025-11-29,50.48,High
PROD-2174,Body Plus,Mcconnell-Beasley,Clothing,45,465.8,562.19,1.6,Davis LLC,2025-10-10,17.15,Low
PROD-2175,Mind Pro,Riggs-Anderson,Sports,452,282.07,680.84,4.0,Davis Group,2025-07-24,58.57,High
PROD-2176,Environment Plus,Ward,Food & Beverage,389,656.44,911.27,2.0,"Gibson, Chaney and Marquez",1900-01-01,27.96,High
PROD-2177,Term Lite,Jenkins,Clothing,293,824.65,1721.34,3.4,"Rice, Dorsey and Murray",2026-01-01,52.09,High
PROD-2178,East Basic,"Jackson,",Sports,61,67.82,151.84,2.5,Brewer-Clark,2025-08-16,55.33,Medium
PROD-2179,When Lite,Ortiz,Food & Beverage,85,777.91,1833.3,4.4,Burton Group,2025-06-18,57.57,Medium
PROD-2180,Until Elite,Lee-Marshall,Clothing,445,822.54,1893.7,4.8,"Garcia, Smith and Robinson",2026-02-07,56.56,High
PROD-2181,Country Basic,Scott,Sports,209,464.22,798.9,4.5,Lane-Anderson,2026-04-20,41.89,High
PROD-2182,According Lite,"Harris,",Food & Beverage,77,983.39,1498.5,2.1,Jenkins-Baker,2025-07-28,34.38,Medium
PROD-2183,Painting Lite,Robertson-Lutz,Electronics,201,787.77,1271.23,1.8,Lowe-Bauer,2026-05-29,38.03,High
PROD-2184,Action Max,Miller-Long,Sports,301,774.79,1450.38,2.9,"Kennedy, Johnston and Lee",2026-04-09,46.58,High
PROD-2185,Could Pro,Abbott,Food & Beverage,396,749.1,1735.33,1.0,Phillips-Chavez,2025-11-08,56.83,High
PROD-2186,Design Max,"Rodriguez,",Clothing,222,154.86,223.29,1.1,"Montes, Lambert and Ramsey",2025-08-11,30.65,High
PROD-2187,Miss Elite,"Ford,",Food & Beverage,221,221.14,519.72,3.2,Le-Richards,2026-02-02,57.45,High
PROD-2188,Series Lite,"Cohen,",Clothing,2,466.67,721.66,3.1,"Delgado, Fernandez and Hernandez",2026-01-29,35.33,Low
PROD-2189,Care Elite,Stevens,Food & Beverage,477,267.68,497.35,5.0,"Massey, White and Ruiz",1900-01-01,46.18,High
PROD-2190,Hold Plus,Key-Gonzales,Furniture,0,418.16,755.63,1.8,Logan and Sons,2025-09-22,44.66,Out of Stock
PROD-2191,Summer Lite,Hernandez,Sports,92,889.02,1606.49,2.0,"Maldonado, Anderson and Cherry",2025-06-10,44.66,Medium
PROD-2192,Together Plus,"Massey,",Clothing,7,825.21,1382.36,1.5,Tate-Garcia,2025-08-31,40.3,Low
PROD-2193,Whole Elite,"Lane,",Food & Beverage,427,631.89,1535.99,4.7,Valdez Inc,2025-10-18,58.86,High
PROD-2194,Claim Pro,Bailey,Clothing,492,858.83,1529.31,4.1,Odonnell Group,2025-06-20,43.84,High
PROD-2195,Nor Elite,"James,",Electronics,234,784.85,949.53,4.3,Taylor-Mccann,2026-01-02,17.34,High
PROD-2196,Put Elite,Joseph,Clothing,107,431.84,1026.43,4.6,Short-Sanchez,2026-04-21,57.93,Medium
PROD-2197,Wish Basic,Wong,Sports,160,205.06,467.13,3.1,Bryan-Estrada,2025-11-03,56.1,Medium
PROD-2198,Cut Basic,Payne,Electronics,208,516.63,945.12,2.8,"Ward, Clark and Valentine",2025-10-17,45.34,High
PROD-2199,Daughter Lite,"Ross,",Sports,239,737.55,1126.18,2.3,"Hernandez, Thomas and Savage",2026-05-13,34.51,High
PROD-2200,Appear Lite,Edwards-Gutierrez,Food & Beverage,330,439.24,823.2,3.4,"Wheeler, Welch and Shepherd",2025-11-21,46.64,High
PROD-2201,Agree Basic,"Mueller,",Furniture,332,668.44,850.15,2.8,Austin Ltd,2025-08-18,21.37,High
PROD-2202,He Elite,"Diaz,",Sports,49,98.86,209.08,2.8,Simpson and Sons,2025-09-14,52.72,Low
PROD-2203,Mention Elite,Unknown,Clothing,10,749.26,1650.71,4.7,Robinson-Lamb,2025-07-09,54.61,Low
PROD-2204,Husband Lite,"Peterson,",Furniture,350,813.65,935.87,4.9,"Miller, Ortega and Middleton",2026-05-24,13.06,High
PROD-2205,Nothing Lite,Wright,Clothing,155,708.3,1012.27,4.2,Lucas-Johnson,1900-01-01,30.03,Medium
PROD-2206,Partner Pro,Harris,Electronics,491,967.43,1660.49,4.0,"Cunningham, Jackson and Peterson",2026-01-30,41.74,High
PROD-2207,Often Lite,"Padilla,",Electronics,69,827.52,1795.61,3.7,"Weiss, Hughes and Sanchez",2025-09-09,53.91,Medium
PROD-2208,Add Plus,Pierce-Hall,Electronics,168,903.58,2199.55,1.7,Chavez Ltd,2025-08-07,58.92,Medium
PROD-2209,Officer Pro,"Johnston,",Food & Beverage,271,933.9,1055.13,1.2,Hunt Inc,2025-10-29,11.49,High
PROD-2210,Hold Max,"Vasquez,",Electronics,67,802.34,1822.0,3.8,"Garrison, Moreno and Perez",2025-08-25,55.96,Medium
PROD-2211,Population Lite,Velazquez,Sports,354,675.89,999.25,3.9,"Elliott, Schmidt and Hampton",2025-07-10,32.36,High
